title,rating,description,air_date
S1.E23 ∙ The One with the Birth,8.6/10 (6.1K),"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.","Thu, May 11, 1995"
S1.E24 ∙ The One Where Rachel Finds Out,8.7/10 (6.5K),"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.","Thu, May 18, 1995"
S2.E1 ∙ The One with Ross's New Girlfriend,8.4/10 (6K),"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.","Thu, Sep 21, 1995"
S2.E2 ∙ The One with the Breast Milk,8.0/10 (5.7K),"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.","Thu, Sep 28, 1995"
S2.E3 ∙ The One Where Heckles Dies,8.2/10 (5.7K),"Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution.","Thu, Oct 5, 1995"
S2.E4 ∙ The One with Phoebe's Husband,7.8/10 (5.5K),"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.","Thu, Oct 12, 1995"
S2.E5 ∙ The One with Five Steaks and an Eggplant,8.1/10 (5.6K),"The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage.","Thu, Oct 19, 1995"
S2.E6 ∙ The One with the Baby on the Bus,8.4/10 (5.9K),"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.","Thu, Nov 2, 1995"
S2.E7 ∙ The One Where Ross Finds Out,8.9/10 (6.8K),"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.","Thu, Nov 9, 1995"
S2.E8 ∙ The One with the List,8.3/10 (5.6K),"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.","Thu, Nov 16, 1995"
S2.E9 ∙ The One with Phoebe's Dad,7.8/10 (5.3K),"Phoebe tracks down her father, but isn't sure whether she should meet him.","Thu, Dec 14, 1995"
S2.E10 ∙ The One with Russ,7.8/10 (5.6K),Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,"Thu, Jan 4, 1996"
S2.E11 ∙ The One with the Lesbian Wedding,7.9/10 (5.5K),Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,"Thu, Jan 18, 1996"
S2.E12 ∙ The One After the Superbowl: Part 1,8.5/10 (5.8K),Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,"Sun, Jan 28, 1996"
S2.E13 ∙ The One After the Superbowl: Part 2,8.7/10 (6K),"Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.","Sun, Jan 28, 1996"
S2.E14 ∙ The One with the Prom Video,9.3/10 (8.5K),Monica struggles to tell her parents she is unemployed. Joey gives Chandler a hideous bracelet. The gang watch a video from Monica and Rachel's prom.,"Thu, Feb 1, 1996"
S2.E15 ∙ The One Where Ross and Rachel... You Know,8.7/10 (6K),Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,"Thu, Feb 8, 1996"
S2.E16 ∙ The One Where Joey Moves Out,8.5/10 (5.4K),Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,"Thu, Feb 15, 1996"
